element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,14,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,Product: A1-A3,29031.321760911997,-459.03095923800004,,74.018879862,5.3974162,1641.18168446,5.2112983999999995e-09
Element_1,15,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Column foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,Product: A1-A3,24129.03,-126.33,,101.56932,3.057186,1203.9249,-0.00010877013000000001
Element_2,16,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Product: A1-A3,53118.681387407996,-839.890083942,,135.432527958,9.8756658,3002.87419614,9.5351256e-09
Element_3,17,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Wall foundation,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Product: A1-A3,44149.65,-231.15,,185.8446,5.59383,2202.8595,-0.00019902015000000003
Element_4,18,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Product: A1-A3,91936.17932436,-1453.6559145150002,,234.402452235,17.0924985,5197.28226255,1.6503102e-08
Element_5,19,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Product: A1-A3,9434.62,-36.01,,28.41189,1.026285,367.30199999999996,-4.39322e-05
Element_6,20,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Concrete slab,"Normalweight Concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,Product: A1-A3,1338670.48060242,-21750.80766894,,3376.86258798,246.903552,74264.62126734,2.3790186e-07
Element_7,21,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Elevated slabs,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit,Product: A1-A3,82525.37,-432.07,,347.38428,10.456094,4117.6271,-0.00037201227
Element_8,22,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Concrete columns,"Normalweight Concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit,Product: A1-A3,125173.720152047,-2033.830992529,,315.75690859300005,23.0869632,6944.187575969,2.2245251e-08
Element_9,23,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural columns,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",20004,Calculated from takeoff from Revit,Product: A1-A3,38207.64,-200.04,,160.83216000000002,4.840968,1906.3811999999998,-0.00017223444
Element_10,24,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,Product: A1-A3,186623.047220564,-3042.538947148,,470.087615186,34.440446200000004,10327.617266459,3.3129261700000004e-08
Element_11,25,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Structural walls,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",65267,Calculated from takeoff from Revit,Product: A1-A3,124659.97,-652.67,,524.74668,15.794614,6219.9451,-0.00056194887
Element_12,11,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Exterior finish,Brick,"Brick, generic",360492,"Kaleidoscope Calculator, Payette",Product: A1-A3,104182.188,0.0,,181.327476,9.5169888,3010.1082,2.4513456e-08
Element_13,12,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Exterior finish,Type N Mortar,Mortar type N,57846,"Kaleidoscope Calculator, Payette",Product: A1-A3,5715.1848,17.3538,,10.296588,1.9320564,192.62718,1.214766e-09
Element_14,13,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Support,Galvanized steel shelf angle with knife plate,Galvanized steel,12117,"Kaleidoscope Calculator, Payette",Product: A1-A3,31261.86,-605.85,,166.0029,7.136913,2423.4,0.0007052094
Element_15,14,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Insulation,"4"" mineral wool insulation","Mineral wool, low density, NAIMA - EPD",9412,"Kaleidoscope Calculator, Payette",Product: A1-A3,14212.12,-752.96,,104.4732,2.54124,537.4252,0.00036518559999999995
Element_16,15,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,AVB,AVB membrane,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",Product: A1-A3,5207.225,26.876,,24.188399999999998,1.3303619999999998,331.91859999999997,9.54098e-08
Element_17,16,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Wall structure,Sheathing,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Product: A1-A3,14313.453,-605.22,,58.706340000000004,5.689068,705.0813,0.0005870634
Element_18,17,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Wall structure,"6"" galvanized steel stud framing",Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette",Product: A1-A3,36688.75,-299.5,,142.41225,6.454225,1991.6750000000002,0.0004657225
Element_19,18,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Product: A1-A3,7477.1359999999995,0.0,,6.741680000000001,0.4780464,166.09048,8.090016e-10
Element_20,19,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO3,MV: brick,Interior finish,Acrylic latex paint,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Product: A1-A3,1221.6,25.450000000000003,,4.6319,0.241775,88.05699999999999,6.8206e-10
Element_21,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,Double pane IGU,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Product: A1-A3,47359.62,0.0,,378.1701,15.975036,4594.59,1.9933452000000002e-08
Element_22,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,EPDM membrane,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,Product: A1-A3,34869.380000000005,-433.16,,90.09728,7.092995,1277.822,8.522423e-09
Element_23,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,Polyisocyanurate board,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,Product: A1-A3,29069.9,-1073.05,,106.3295,7.657675,1248.64,0.0013657
