element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Component,Building Material_name,Tally material,Weight (kg),Data Source (Material Quantities),Assembly,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential
Element_0,14,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,Column foundation,36464.30343953792,,,92.63735956136641,6.36547857746304,2049.763056064672,3.717781373370241e-06
Element_1,15,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",12633,Calculated from takeoff from Revit,Column foundation,25121.99391600108,,,106.5459672944736,3.34157397051096,1354.154430281028,-0.00010379295872001624
Element_2,16,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Concrete footing,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,Wall foundation,66718.82638931328,,,169.4988064145376,11.646931931631359,3750.456544537248,6.802433794316161e-06
Element_3,17,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR2,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",23115,Calculated from takeoff from Revit,Wall foundation,45966.507509567404,,,194.950529091408,6.114183671998799,2477.73922709934,-0.0001899132621557172
Element_4,18,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Concrete slab on grade,"Normalweight Concrete, 4000 psi","Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,Slab on grade,115474.8918276576,,,293.363318794392,20.158151420131205,6491.17478862216,1.1773443105547203e-05
Element_5,19,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR2,Steel welded wire mesh,"Steel, welded wire mesh","Steel, welded wire mesh",3601,Calculated from takeoff from Revit,Slab on grade,9672.63457953676,,,29.625463943379202,1.0969636819471198,406.05788247091607,-4.251347993313928e-05
Element_6,20,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Concrete slab,"Normalweight Concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",6429780,Calculated from takeoff from Revit,Elevated slabs,1621135.0306419912,,,4084.392986692704,283.6913870415744,89791.33158020591,0.0001413211819025
Element_7,21,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",43207,Calculated from takeoff from Revit,Elevated slabs,85921.47479843732,,,364.4052567792544,11.42874903378984,4631.437542084412,-0.000354989501101539
Element_8,22,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Concrete columns,"Normalweight Concrete, 5000 psi","Structural concrete, 5000 psi, 20% fly ash",601223,Calculated from takeoff from Revit,Structural columns,151585.84998672892,,,381.9152450998865,26.52684645373504,8396.028129523273,1.3214378244202241e-05
Element_9,23,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Steel reinforcement,"Steel, reinforcing rod","Steel, reinforcing rod",20004,Calculated from takeoff from Revit,Structural columns,39779.97041840304,,,168.71254094503684,5.291288348460481,2144.265433653264,-0.00016435322933865313
Element_10,24,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR2,Concrete shear wall,"Normalweight Concrete, 6000 psi","Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,Structural walls,225023.85718206194,,,566.2757576596064,39.44172038512704,12438.460032278872,1.9213278504854243e-05
